id,name,street_number ,city,zipcode,state,country,contact_number
1,K-9 Kamp Dog Day Care,242 Johnson St,East Syracuse,13057,NY,USA,(315) 210-4553
2,Blue Collar Doggie Daycare,3101 Erie Blvd E,Syracuse,13214,NY,USA,(315) 907-3454
3,K-9 Kamp Dog Daycare,228 Old Bridge St,Syracuse,13057,NY,USA,(315) 437-7110
4,Pawphoria Play & Stay,709 N Main St Suite 10,North Syracuse,13212,NY,USA,(315) 214-4002
5,The Barking Orange,1005 N Geddes St,Syracuse,13204,NY,USA,(315) 314-6767
6,Justin’s Canine Campus,8075 Oswego Rd,Liverpool,13090,NY,USA,(315) 715-4075
7,Bark Avenue Doggy Day Care & Grooming Spa LLC,111 Sunset Ave,Syracuse,13208,NY,USA,(315) 295-2275
8,It's A Dog's Life CNY,7418 Kirkville Rd,East Syracuse,13057,NY,USA,(315) 510-2027
9,Pawphoria Play & Stay,709 N Main St Suite 10,North Syracuse,13212,NY,USA,(315) 214-4002
10,The Barking Orange,1005 N Geddes St,Syracuse,13204,NY,USA,(315) 314-6767
